Region,Institution Name,Institutional Type,Province,Municipality_City,Website Address,Fax_Telephone No.
13 - Nat. Capital Region,FEATI University,Private HEIs,"City of Manila, First District",Sta. Cruz,www.featiu.edu.ph,(02) 733-8321 to 25; (02) 733-7043; (02) 733-3982
13 - Nat. Capital Region,Centro Escolar University-Manila,Private HEIs,"City of Manila, First District",San Miguel,www.ceu.edu.ph,(02) 735-6861 to 69; (02) 735-5991
13 - Nat. Capital Region,Jose Rizal University,Private HEIs,Second District,Mandaluyong City,www.jru.edu,(02) 531-8031; (02) 532-1418; (02) 531-8031 loc 14
13 - Nat. Capital Region,St. Paul University-Quezon City,Private HEIs,Second District,Quezon City,www.spuqc.edu.ph,(02) 726-7986; (02) 726-7987; (02) 726-7988; (02) 726-0552; (02) 722-1865
13 - Nat. Capital Region,Lyceum of the Philippines University,Private HEIs,"City of Manila, First District",Intramuros,www.lpu.edu.ph,(02) 527-8251 to 56; (02) 527-1761; (02) 527-1757; (02) 572-5548
13 - Nat. Capital Region,De Ocampo Memorial College,Private HEIs,"City of Manila, First District",Sta. Mesa,www.deocampomemorialcollege.com,(02) 715-6445; (02) 716-3428; (02) 715-0967
13 - Nat. Capital Region,City of Malabon University,LUCs,Third District,Malabon City,"rosalitoq@yahoo.com, cityofmalabonuniversity_cmu@yahoo.com","(02) 287-8948, (02) 289-9924; (02) 287-7859; (02) 287-7835"
13 - Nat. Capital Region,University of the East-Ramon Magsaysay Memorial Medical Center,Private HEIs,Second District,Quezon City,www.uerm.edu.ph,(02) 713-3315; (02) 715-0861 Local 261
13 - Nat. Capital Region,University of Santo Tomas,Private HEIs,"City of Manila, First District",Sampaloc,www.ust.edu.ph,(02) 731-5709; (02) 786-1734; (02) 731-3123
13 - Nat. Capital Region,Manila Adventist College,Private HEIs,Fourth District,Pasay City,www.mac.edu.ph,(02) 525-9191; (02) 524-3256; (02) 525-9191 ext 434
13 - Nat. Capital Region,La Consolacion College-Manila,Private HEIs,"City of Manila, First District",San Miguel,www.lccm.edu.ph,(02) 736-0235; (02) 736-7602; (02) 310-0512
13 - Nat. Capital Region,Mapua University-Makati,Private HEIs,Fourth District,Makati City,http://www.mapua.edu.ph,(02) 247-5000; (02) 891-0790; (02) 891-0843
13 - Nat. Capital Region,FEU-FERN College,Private HEIs,Second District,Quezon City,www.feudiliman.edu.ph,(02) 932-0104; (02) 361-7986; (02) 361-7786
13 - Nat. Capital Region,Holy Rosary College Foundation,Private HEIs,Third District,Caloocan City,,(02) 662-0354
13 - Nat. Capital Region,College of St. Catherine,Private HEIs,Second District,Quezon City,www.cscqc.edu.ph,(02) 330-3620; (02) 330-4883
13 - Nat. Capital Region,International Baptist College,Private HEIs,Second District,"Mandaluyong City ",www.ibcs.edu.ph,(02) 533-6378; (02) 531-4227
13 - Nat. Capital Region,Metro Business College-Pasay,Private HEIs,Fourth District,Pasay City,,(02) 888-0432; (02) 887-7236
13 - Nat. Capital Region,"Metropolitan Medical Center College of Arts, Science and Technology",Private HEIs,"City of Manila, First District",Sta. Cruz,www.metro.edu.ph,(02) 253-8769; (02) 254-1111; (02) 255-2737
13 - Nat. Capital Region,Divine Mercy College Foundation,Private HEIs,Third District,Caloocan City,,(02) 361-1922; (02) 366-6922; (02) 361-0762; (02) 362-3147
13 - Nat. Capital Region,Mother of Life Center,Private HEIs,Second District,Quezon City,,(02) 939-3433; (02) 985-5501
13 - Nat. Capital Region,Miriam College,Private HEIs,Second District,Quezon City,www.mc.edu.ph,(02) 580-5400 to 29; (02) 426-0169; (02) 435-9232; (02) 435-9236
13 - Nat. Capital Region,Informatics College-Eastwood,Private HEIs,Second District,Quezon City,www.informatics.edu.com.ph,(02) 667-3093 to 98; (02) 667-3094 ; (02) 667-3095 to 98 loc 609
13 - Nat. Capital Region,South CompEdge College,Private HEIs,,,,
13 - Nat. Capital Region,Central Colleges of the Philippines,Private HEIs,Second District,Quezon City,http://www.ccp.edu.ph,(02) 715-5770 loc. 110 to 147; (02) 713-8454; (02) 715-0846; (02) 713-6806; (02) 715-5170 loc. 124;  (02) 715-0845
13 - Nat. Capital Region,The National Teachers College,Private HEIs,"City of Manila, First District",Quiapo,www.ntc.edu.ph,(02) 734-5601; (02) 734-1885
13 - Nat. Capital Region,University of Caloocan City,LUCs,Third District,Caloocan City,ucc-caloocan.edu.ph,(02) 310-6855; (02) 310-6581
13 - Nat. Capital Region,Martinez Memorial College,Private HEIs,Third District,Caloocan City,,(02) 288-8861 to 63; (02) 288-4279
13 - Nat. Capital Region,Criminal Justice College,Private HEIs,Fourth District,Muntinlupa City,,(02) 862-5392
13 - Nat. Capital Region,Development Academy of the Philippines,Special HEI,Second District,Pasig City,www.dap.edu.ph,(632) 631-0921 to 30 local 175 and 177; (02) 631-2167; (02) 631-2123; (02) 633-5569
13 - Nat. Capital Region,Christ the King College of Science and Technology,Private HEIs,Fourth District,Muntinlupa City,christthekingcollege.edu.ph,(02) 862-6930; (02) 403-2581
13 - Nat. Capital Region,Our Lady of the Angels Seminary,Private HEIs,Second District,Quezon City,,(02) 283-8850; (02) 936-4083
13 - Nat. Capital Region,Lyceum of Alabang,Private HEIs,Fourth District,Muntinlupa City,www.lyceumalabang.edu.ph,(02) 856-9323; (02) 856-9324; (02) 862-4974
13 - Nat. Capital Region,City University of Pasay,LUCs,Fourth District,Pasay City,,(02) 846-7554; (02) 551-1342
13 - Nat. Capital Region,Manuel L. Quezon University,Private HEIs,"City of Manila, First District",Quiapo,www.mlqu.edu.ph,(02) 734-0121 to 24; (02) 733-7976; (02) 733-9938; (02) 736-5241
13 - Nat. Capital Region,Philippine College of Health Sciences,Private HEIs,"City of Manila, First District",Quiapo,www.pchsmanila.edu.ph,(02) 734-0340; (02) 736-2433
13 - Nat. Capital Region,WCC Aeronautical & Technological College-North Manila,Private HEIs,Third District,Caloocan City,www.worldciticolleges.edu.ph,(02) 363-8080; (02) 367-8562
13 - Nat. Capital Region,Marikina Polytechnic College,SUC Main,Second District,Marikina City,mpc.edu.ph,(02) 369-7216; (02) 682-0596
13 - Nat. Capital Region,Perpetual Help College of Manila,Private HEIs,"City of Manila, First District",Sampaloc,,(02) 731-1550
13 - Nat. Capital Region,Olivarez College,Private HEIs,Fourth District,Parañaque City,www.olivarezcollege.edu.ph,(02) 829-0704; (02) 826-0750 loc 107; (02) 825-8712; (02) 826-0750 loc 119
13 - Nat. Capital Region,Philippine College of Criminology,Private HEIs,"City of Manila, First District",Sta. Cruz,www.pccr.edu.ph,(02) 733-1607; (02) 735-8624; (02) 733-1608
13 - Nat. Capital Region,Philippine Normal University-Main,SUC Main,"City of Manila, First District",Ermita,www.pnu.edu.ph,(02) 527-0375
13 - Nat. Capital Region,Philippine School of Business Administration-Quezon City,Private HEIs,Second District,Quezon City,www.psba.edu,(02) 437-5129; (02) 913-9659; (02) 913-9657; (02) 437-5129; (02) 421-2881; (02) 913-9658
13 - Nat. Capital Region,Informatics College-Northgate,Private HEIs,Fourth District,Muntinlupa City,www.informatics.edu.ph,(02) 772-2474; (02) 772-2476; (02) 772-3082
13 - Nat. Capital Region,Philippine State College of Aeronautics-Main,SUC Main,Fourth District,Pasay City,philsca-edu.com,(02) 401-5527
13 - Nat. Capital Region,Philippine School of Business Administration-Manila,Private HEIs,"City of Manila, First District",Sampaloc,www.psba.edu,(02) 735-1353; (02) 735-1355; (02) 735-1384; (02) 735-1351
13 - Nat. Capital Region,PHILSIN College Foundation,Private HEIs,"City of Manila, First District",Sta. Mesa,,(02) 715-0018; (02) 715-2238; (02) 715-4410
13 - Nat. Capital Region,ABE International Business College-Caloocan City,Private HEIs,Third District,Caloocan City,"www.abe.edu.ph ",(02) 363-6065; (02) 367-1431
13 - Nat. Capital Region,St. Louis College-Valenzuela,Private HEIs,Third District,Valenzuela City,www.slcv.edu.ph,(02) 292-0481; (02) 292-3137; (02) 292-3121
13 - Nat. Capital Region,New Era University,Private HEIs,Second District,Quezon City,www.neu.edu.ph,(02) 981-4221; (02) 981-4240
13 - Nat. Capital Region,Polytechnic University of The Philippines-Open University,SUC Satellite,"City of Manila, First District",Sta. Mesa,http://www.pup.edu.ph,(02) 716-4034; (02) 716-2644
13 - Nat. Capital Region,Rizal Technological University,SUC Main,Second District,Mandaluyong City,www.rtu.edu.ph,(02) 534-8267; (02) 534-9710; (02) 534-8267 local 110
13 - Nat. Capital Region,World Citi Colleges-Quezon City,Private HEIs,Second District,Quezon City,www.worldciticolleges.edu.ph,"(02) 913-8380 local 422, 423; (02) 913-8380 local 421; (02) 913-8380 local 336"
13 - Nat. Capital Region,St. Camillus College Seminary,Private HEIs,Second District,Marikina City,,(02) 941-5194; (02) 941-5196; (02) 941-5195
13 - Nat. Capital Region,Roosevelt College-Marikina,Private HEIs,Second District,Marikina City,www.rooseveltcollege.edu.ph,(02) 941-4093; (02) 941-3584
13 - Nat. Capital Region,St. Jude College,Private HEIs,"City of Manila, First District",Sampaloc,www.stjude.edu.ph,(02) 338-5833; (02) 740-4149; (02) 314-5528
13 - Nat. Capital Region,St. Joseph's College of Quezon City,Private HEIs,Second District,Quezon City,http://www.sjcqc.edu.ph,(02) 721-5045; (02) 725-5197; (02) 723-0222 to 23
13 - Nat. Capital Region,La Consolacion College-Pasig,Private HEIs,Second District,Pasig City,www.lccp.edu.ph,(02) 641-8599
13 - Nat. Capital Region,St. Scholastica's College,Private HEIs,"City of Manila, First District",Malate,www.ssc.edu.ph,(02) 567-7686; (02) 559-7593
13 - Nat. Capital Region,Makati Medical Center College,Private HEIs,Fourth District,Makati City,www.makatimedcollege.edu.ph,(063) 893-3284; (02) 815-9910; (02) 812-0100
13 - Nat. Capital Region,Polytechnic University of the Philippines-Parañaque Campus,SUC Satellite,Fourth District,Parañaque City,http://www.pup.edu.ph,(02) 553-8623; (02) 478-6917; (02) 554-8623
13 - Nat. Capital Region,PMI Colleges-Quezon City,Private HEIs,Second District,Quezon City,,(02) 374-4770; (02) 242-4540; (02) 244-3146
13 - Nat. Capital Region,Saint Rita College-Manila,Private HEIs,"City of Manila, First District",Quiapo,www.src.augustinian.org.ph,(02) 734-4360; (02) 736-3988
13 - Nat. Capital Region,San Juan de Dios Educational Foundation,Private HEIs,Fourth District,Pasay City,http:www.sjdefi.edu.ph,(02) 551-2763; (02) 551-9214; (02) 551-2755
13 - Nat. Capital Region,San Carlos Seminary,Private HEIs,Fourth District,Makati City,www.scs.edu.ph,(02) 895-8855; (02) 890-9563
13 - Nat. Capital Region,Sta. Catalina College,Private HEIs,"City of Manila, First District",Sampaloc,www.stacatalinacollege.edu.ph,(02) 734-6861; (02) 734-6817; (02) 735-2449
13 - Nat. Capital Region,Siena College,Private HEIs,Second District,Quezon City,www.scqc.edu.ph,(02) 415-1280; (02) 414-1155 to 58 loc 201
13 - Nat. Capital Region,Gardner College Diliman,Private HEIs,Second District,Quezon City,www.gardner.edu.ph,(02) 925-5640; (02) 929-0281
13 - Nat. Capital Region,Santa Isabel College of Manila,Private HEIs,"City of Manila, First District",Ermita,www.santaisabel.edu.ph,(02) 525-9416 to 19; (02) 524-7340
13 - Nat. Capital Region,Access Computer and Technical Colleges-Cubao,Private HEIs,Second District,Quezon City,www.access.edu.ph,(02) 911-4669; (02) 709-2976; (02) 283-4245
13 - Nat. Capital Region,University of Perpetual Help System Dalta,Private HEIs,Fourth District,Las Piñas City,www.perpetualdalta.edu.ph,(02) 871-0639 to 46; (02) 875-0194; (02) 874-8515
13 - Nat. Capital Region,Philippine Dominican Center of Institutional Studies,Private HEIs,Second District,Quezon City,,(02) 354-4494; (02) 354-4581
13 - Nat. Capital Region,Stella Maris College,Private HEIs,Second District,Quezon City,,(02) 912-4085; (02) 912-4210; (02) 911-0867
13 - Nat. Capital Region,Navotas Polytechnic College,LUCs,Third District,Navotas City,,(02) 281-9132
13 - Nat. Capital Region,Polytechnic University of the Philippines-San Juan Campus,SUC Satellite,Second District,San Juan City,http://www.pup.edu.ph,(02) 632-7738; (02) 724-6322; (02) 497-4459; (02) 579-4792
13 - Nat. Capital Region,Samson College of Science and Technology-Quezon City,Private HEIs,Second District,Quezon City,http://www.samson.edu.ph,(02) 721-4129; (02) 414-6429; (02) 723-1648
13 - Nat. Capital Region,Kalayaan College,Private HEIs,Second District,Quezon City,www.kalayaan.edu.ph,(02) 726-6291
13 - Nat. Capital Region,Southeast Asian College,Private HEIs,Second District,Quezon City,www.saci.edu.ph,(02) 712-3640 local 130; (02) 712-3209; (02) 781-6362
13 - Nat. Capital Region,Global City Innovative College,Private HEIs,Fourth District,Makati City,www.global.edu.ph,(02) 882-4242 to 45; (02) 882-8858; (02) 666-8881
13 - Nat. Capital Region,University of the East-Caloocan,Private HEIs,Third District,Caloocan City,http://www.ue.edu.ph,(02) 364-2396; (02) 361-1398; (02) 364-2659
13 - Nat. Capital Region,National College of Business and Arts-Cubao,Private HEIs,Second District,Quezon City,www.ncba.edu.ph,(02) 913-8785 loc. 162; (02) 913-1985
13 - Nat. Capital Region,University of the East-Manila,Private HEIs,"City of Manila, First District",Sampaloc,http://www.ue.edu.ph,(02) 735-5471; (02) 735-6972; (02) 735-6973
13 - Nat. Capital Region,Asian College of Science and Technology-Cubao,Private HEIs,Second District,Quezon City,asiancollege.edu.ph,(02) 912-3236; (02) 912-3238; (02) 912-3239; (02) 912-3236 loc 208; (02) 621-9059; (02) 621-9059
13 - Nat. Capital Region,Angelicum College,Private HEIs,Second District,Quezon City,http://www.angelicum.edu.ph/Angelicum/,(02) 712-1745; (02) 414-5708
13 - Nat. Capital Region,Immaculate Heart of Mary College-Parañaque,Private HEIs,Fourth District,Parañaque City,www.immaculatinian.webs.com,(02) 823-4109; (02) 824-5408; (02) 823-4109 loc 121
13 - Nat. Capital Region,St. Bernadette of Lourdes College,Private HEIs,Second District,Quezon City,www.sblc-edu.com,(02) 930-7494; (02) 939-4763
13 - Nat. Capital Region,IETI College-Alabang,Private HEIs,Fourth District,Muntinlupa City,www.ieti.edu.ph,(02) 772-5290; (02) 850-0937; (02) 869-7775
13 - Nat. Capital Region,Technological University of the Philippines-Taguig,SUC Satellite,Fourth District,Taguig City,www.tup.edu.ph,(02) 301-3001; (02) 521-4063; (02) 523-2293
13 - Nat. Capital Region,Abraham Dumlao Colleges of the Philippines,Private HEIs,Second District,Quezon City,www.dumlaocolleges.edu.ph,(02) 936-0957; (02) 936-0967
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Muntinlupa,LUCs,Fourth District,Muntinlupa City,www.plmun.edu.ph,(02) 659-2113; (02) 893-3368; (02) 659-2113 loc 217
13 - Nat. Capital Region,Pasig Catholic College,Private HEIs,Second District,Pasig City,www.pasigcatholic.edu.ph,"(02) 642-7967; (02) 642-7481; (02) 641-3134; (02) 643-6486 "
13 - Nat. Capital Region,Universidad de Manila,LUCs,"City of Manila, First District",Ermita,udm.edu.ph,(02) 336-8960; (02) 336-6582; (02) 336-6552; (02) 484-5295
13 - Nat. Capital Region,STI College Alabang,Private HEIs,Fourth District,Muntinlupa City,www.stialabang.net,(02) 842-0947; (02) 842-0979; (02) 807-7025; (02) 807-2752
13 - Nat. Capital Region,St. John Technological College of the Philippines,Private HEIs,Second District,Quezon City,www.sjtcp.edu.ph,(02) 937-9956; (02) 283-4862; (02) 938-4167
13 - Nat. Capital Region,Far Eastern University,Private HEIs,"City of Manila, First District",Sampaloc,www.feu.edu.ph,(02) 735-5621; (02) 735-0232; (02) 735-0039
13 - Nat. Capital Region,St. Dominic Savio College,Private HEIs,Third District,Caloocan City,www.sdsc.edu.ph,(02) 961-5497; (02) 961-5499
13 - Nat. Capital Region,STI College Cubao,Private HEIs,Second District,Quezon City,www.sti.edu,(02) 911-1824; (02) 911-1804 loc 110; (02) 911-1824 loc 201
13 - Nat. Capital Region,University of the Philippines-Diliman,SUC Main,Second District,Quezon City,upd.edu.ph,(02) 981-8500
13 - Nat. Capital Region,Our Lady of Lourdes College,Private HEIs,Third District,Valenzuela City,www.ollc.edu.com,(02) 922-0070; (02) 922-0077; (02) 922-0072
13 - Nat. Capital Region,PACE Graduate School of Christian Education,Private HEIs,Second District,Quezon City,www.pgsce.wordpress.com,(02) 398-2350
13 - Nat. Capital Region,The University of Manila,Private HEIs,"City of Manila, First District",Sampaloc,www.univman.ed.ph,(02) 735-5098; (02) 735-5085; (02) 735-5084; (02) 735-5094; (02) 735-5089
13 - Nat. Capital Region,STI College Caloocan,Private HEIs,Third District,Caloocan City,www.sti.edu,(02) 294-4001; (02) 294-4002
13 - Nat. Capital Region,CICM Maryhill School of Theology,Private HEIs,Second District,Quezon City,www.maryhillschooloftheology.com,(02) 721-2695; (02) 722-4566
13 - Nat. Capital Region,STI College Global City,Private HEIs,Fourth District,Taguig City,www.sti.edu,(02) 551-4984; (02) 551-4984 loc 5100
13 - Nat. Capital Region,Arellano University-Malabon,Private HEIs,Third District,Malabon City,www.arellano.edu.ph,(02) 579-7289; (02) 281-0025
13 - Nat. Capital Region,Don Bosco Technical College,Private HEIs,Second District,Mandaluyong City,http://dbmanda.one-bosco.org,(02) 531-8081; (02) 531-8082; (02) 531-8083; (02) 531-6644
13 - Nat. Capital Region,STI College Sta. Mesa,Private HEIs,Second District,Pasig City,www.sti.edu,(02) 632-9694; (02) 632-9695
13 - Nat. Capital Region,Technological Institute of the Philippines-Manila,Private HEIs,"City of Manila, First District",Quiapo,www.tip.edu.ph,(02) 736-4208; (02) 733-9117; (02) 913-8084; (02) 911-0107; (02) 911-0966
13 - Nat. Capital Region,STI College Pasay-EDSA,Private HEIs,"City of Manila, First District",Malate,www.sti.edu,(02) 524-0941; (02) 524-0941 local 102  or 103; (02) 524-0941 local 101
13 - Nat. Capital Region,Southville International School and Colleges,Private HEIs,Fourth District,Las Piñas City,www.southville.edu.ph,(02) 825-2358; (02) 825-6374; (02) 820-8703; (02) 820-0935; (02) 825-6284; (02) 829-1675; (02) 820-8259; (02) 820-5161; (02) 820-8715; (02) 820-8714; (02) 825-0766
13 - Nat. Capital Region,Philippine Merchant Marine School-Las Piñas,Private HEIs,Fourth District,Las Piñas City,www.pmms_online.com,(02) 805-0241; (02) 801-9110; (02) 805-0243; (02) 877-3300
13 - Nat. Capital Region,Southeastern College,Private HEIs,Fourth District,Pasay City,www.southeastern.com.ph,(02) 831-8484; (02) 551-5693; (02) 834-5052; (02) 899-3877; (02)  831-7532; (02) 834-0704
13 - Nat. Capital Region,Divine Word Mission Seminary,Private HEIs,Second District,Quezon City,,(02) 726-5002; (02) 726-5004; (02) 726-5002 Local 201
13 - Nat. Capital Region,STI College Novaliches,Private HEIs,Second District,Quezon City,www.sti.edu,(02) 930-0050
13 - Nat. Capital Region,The Manila Times College,Private HEIs,"City of Manila, First District",Intramuros,www.tmtc.edu.ph,(02) 524-5665
13 - Nat. Capital Region,Philippine Merchant Marine School-Manila,Private HEIs,"City of Manila, First District",Sta. Cruz,pmms-online.com,(02) 742-3372; (02) 742-3375
13 - Nat. Capital Region,The Philippine Women's University-Manila,Private HEIs,"City of Manila, First District",Malate,www.pwu.edu.ph,(02) 526-8421; (02) 526-6935
13 - Nat. Capital Region,San Sebastian College-Recoletos,Private HEIs,"City of Manila, First District",Sampaloc,www.sscrmnl.edu.ph,(02) 734-8931; (02) 734-8918; (02) 734-8931 loc 100
13 - Nat. Capital Region,Rogationist Seminary College of Philosophy,Private HEIs,Fourth District,Parañaque City,rcj.ph,(02) 544-3676; (02) 828-3422; (02) 828-3415 to 16
13 - Nat. Capital Region,Dr. Carlos S. Lanting College,Private HEIs,Second District,Quezon City,www.lantingcollege.edu.ph,(02) 939-1930; (02) 939-7229
13 - Nat. Capital Region,Saint Anthony Mary Claret College,Private HEIs,Second District,Quezon City,http://www.icla.org.ph,(02) 932-0343; (02) 954-0252; (02) 920-1442; (02) 932-0346
13 - Nat. Capital Region,Republican College,Private HEIs,Second District,Quezon City,,(02) 912-1286; (02) 912-5579
13 - Nat. Capital Region,Our Lady of Perpetual Succor College,Private HEIs,Second District,Marikina City,www.olopsc.edu.ph,(02) 997-7777; (02) 941-1571; (02) 997-0760
13 - Nat. Capital Region,Our Lady of Guadalupe Colleges,Private HEIs,Second District,Mandaluyong City,www.olgc.edu.ph,(02) 535-5885 to 86; (02) 535-5885 to 87 loc 108; (02) 535-5885 to 87 loc 101
13 - Nat. Capital Region,University of Makati,LUCs,Fourth District,Makati City,www.umak.edu.ph,(02) 882-0675; (02) 883-1867; (02) 882-0679
13 - Nat. Capital Region,Trinity University of Asia,Private HEIs,Second District,Quezon City,www.tua.edu.ph,(02) 702-2882; (02) (02) 410-1726
13 - Nat. Capital Region,Immaculada Concepcion College,Private HEIs,Third District,Caloocan City,icccaloocan.com,(02) 709-4225; (02) 937-5428; (02) 935-9986
13 - Nat. Capital Region,St. Paul University-Manila,Private HEIs,"City of Manila, First District",Malate,www.spumanila.edu.ph,02) 524-5687; (02) 526-0410; (02) 536-1473
13 - Nat. Capital Region,St. Francis Divine College,Private HEIs,Second District,Quezon City,,(02) 939-9304
13 - Nat. Capital Region,The Fisher Valley College,Private HEIs,Fourth District,Taguig City,www.acocities.com/tfvccollegedepartment,"(02) 837-4261  (02) 293-1903 "
13 - Nat. Capital Region,Informatics College-Manila,Private HEIs,"City of Manila, First District",Sampaloc,http://www.informatics.edu.ph,(02) 488-3358; (02) 488-3033
13 - Nat. Capital Region,Children of Mary Immaculate College,Private HEIs,Third District,Valenzuela City,,(02) 292-0161; (02) 291-8821; (02) 291-8822
13 - Nat. Capital Region,La Consolacion College-Novaliches,Private HEIs,Third District,Caloocan City,www.lccdn.org,(02) 938-8502; (02) 930-8155; (02) 935-8182; (02) 938-8502
13 - Nat. Capital Region,ABE International College of Business and Accountancy-Manila,Private HEIs,"City of Manila, First District",Sampaloc,www.abecollege.com,(02) 735-9815; (02) 736-2894
13 - Nat. Capital Region,Colegio de San Lorenzo,Private HEIs,Second District,Quezon City,www.sanlo.edu.ph,(02) 926-9999 loc 120;  (02) 453-0659
13 - Nat. Capital Region,Philippine Public Safety College,Special HEI,Fourth District,Taguig City,,(02) 843-9501; (02) 816-3226
13 - Nat. Capital Region,Capitol Medical Center Colleges,Private HEIs,Second District,Quezon City,,(02) 742-7179; (02) 742-7191
13 - Nat. Capital Region,National Defense College,Special HEI,Second District,Quezon City,,(02) 911-9029; (02) 912-9117; (02) 912-9138; (02) 712-3973; (02) 912-3973; (02) 912-1510; (02) 911-8469
13 - Nat. Capital Region,AMA Computer College-Sta. Mesa,Private HEIs,"City of Manila, First District",Sta. Mesa,www.amaes.edu.ph,(02) 714-8881; (02) 714-8882
13 - Nat. Capital Region,South Mansfield College,Private HEIs,Fourth District,Muntinlupa City,www.smc.edu.ph,(02) 862-3036; (02) 862-1976
13 - Nat. Capital Region,AMA Computer College-Parañaque,Private HEIs,Fourth District,Parañaque City,http://www.amaes.edu.ph,(02) 825-2725; (02) 826-6603; (02) 825-2725
13 - Nat. Capital Region,Asian Institute for Distance Education,Private HEIs,Fourth District,Makati City,www.aide.edu.ph,(02) 810-0968; (02) 813-0565
13 - Nat. Capital Region,Ateneo De Manila University School of Medicine and Public Health,Private HEIs,Second District,Pasig City,http://www.ateneo.edu,(02) 706-3085; (02) 706-3174; (02) 426-6078
13 - Nat. Capital Region,AMA Computer College-Fairview,Private HEIs,Second District,Quezon City,amaes.edu.ph,(02) 921-5781; (02) 921-1115
13 - Nat. Capital Region,Asian Institute of Maritime Studies,Private HEIs,Fourth District,Pasay City,www.aims.edu.ph,(02) 832-2467; (02) 551-5157; (02) 556-1840
13 - Nat. Capital Region,CAP College Foundation,Private HEIs,Fourth District,Makati City,www.capcow.com,(02) 812-6923; (02) 759-2155
13 - Nat. Capital Region,Our Lady of Fatima University-Quezon City,Private HEIs,Second District,Quezon City,www.fatima.edu.ph,(02) 935-2947; (02) 419-1288 loc 12; (02) 935-2947 loc 23; (02) 291-6556
13 - Nat. Capital Region,Asian Social Institute,Private HEIs,"City of Manila, First District",Malate,www.asinet-online.org,(02) 523-3483; (02) 523-8265 to 67; (02) 526-6154; (02) 526-6155
13 - Nat. Capital Region,Polytechnic University of the Philippines-Quezon City Campus,SUC Satellite,Second District,Quezon City,http://www.pup.edu.ph,"(02) 428-9144, (02) 952-7818, (02) 952-7817"
13 - Nat. Capital Region,System Plus Computer College-Caloocan,Private HEIs,Third District,Caloocan City,www.spcc.edu.ph,(02) 365-4743; (02) 364-4320
13 - Nat. Capital Region,Interface Computer College-Caloocan,Private HEIs,Third District,Caloocan City,http://www.interface.edu.ph,(02) 366-7271; (02) 736-4150
13 - Nat. Capital Region,Asia Graduate School of Theology,Private HEIs,Second District,Quezon City,www.agstphil.org,(02) 410-0312
13 - Nat. Capital Region,Dr. Filemon C. Aguilar Memorial College of Las Piñas,LUCs,Fourth District,Las Piñas City,,(02) 403-1985; (02) 869-8027
13 - Nat. Capital Region,Colegio de Muntinlupa,LUCs,,,,
13 - Nat. Capital Region,St. Chamuel College,Private HEIs,Fourth District,Taguig City,,
13 - Nat. Capital Region,AMA Computer College-Las Piñas,Private HEIs,Fourth District,Las Piñas City,www.amaes.edu.ph,(02) 802-0129; (02) 800-1127; (02) 806-4311; (02) 802-0129
13 - Nat. Capital Region,STI College Las Piñas,Private HEIs,Fourth District,Las Piñas City,http://www.sti.edu,(02) 871-8327; (02) 871-9437
13 - Nat. Capital Region,ACLC College of Marikina,Private HEIs,Second District,Marikina City,,
13 - Nat. Capital Region,Wesleyan College of Manila,Private HEIs,Fourth District,Pasay City,www.wesleyanmanila.edu.ph,(02) 310-4131 to 32
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Pasig,LUCs,Second District,Pasig City,www.pasigcity.gov.ph,(02) 628-1014; (02) 628-1013; (02) 642-4100; (02) 628-1014 loc 101
13 - Nat. Capital Region,Guang Ming College,Private HEIs,"City of Manila, First District",Malate,www.guangmingcollege.edu.ph,(02) 523-4909; (02) 522-1475
13 - Nat. Capital Region,Dr. Jose Fabella Memorial Hospital School of Midwifery,Special HEI,"City of Manila, First District",Sta. Cruz,fabella.doh.gov.ph,(02) 875-7208 loc 405
13 - Nat. Capital Region,Integrated Innovation and Hospitality Colleges,Private HEIs,Second District,Quezon City,,(02) 754-9645
13 - Nat. Capital Region,AMA Computer College-Pasig City,Private HEIs,Second District,Pasig City,amaes.edu.com.ph,"(02) 637-8041, (02) 637-8040; (02) 637-8020"
13 - Nat. Capital Region,Asia Harvesters College and Seminary,Private HEIs,Second District,Quezon City,www.ahcs.asia,(02) 952-9987
13 - Nat. Capital Region,Rizal Technological University-Pasig,SUC Satellite,Second District,Pasig City,rtu.edu.ph,(02) 642-6152
13 - Nat. Capital Region,ABE International College of Business and Economics-Las Piñas,Private HEIs,Fourth District,Las Piñas City,www.abecollege.com,(02) 872-0183; (02) 872-0220
13 - Nat. Capital Region,Southville International School,Private HEIs,Fourth District,Las Piñas City,www.sisfu.edu.ph,(02) 820-9181; (02) 825-5147
13 - Nat. Capital Region,Access Computer and Technical Colleges-Camarin,Private HEIs,Third District,Caloocan City,www.access.edu.ph,(02) 442-1785; (02) 962-9386
13 - Nat. Capital Region,Datamex College of Saint Adeline-Fairview,Private HEIs,Second District,Quezon City,www.stadeline.edu.ph,(02) 921-8350
13 - Nat. Capital Region,STI College Marikina,Private HEIs,Second District,Marikina City,www.sti.edu,(02) 942-3307; (02) 997-6683; (02) 948-2978; (02) 997-6601
13 - Nat. Capital Region,Colegio de San Gabriel Archangel of Caloocan,Private HEIs,Third District,Caloocan City,,(02) 785-6950; (02) 788-3087
13 - Nat. Capital Region,AMA Computer College-Mandaluyong,Private HEIs,Second District,Mandaluyong City,www.ama.edu.ph,"(02) 477-3054, (02) 477-3760"
